tau_in,q,dq,ddq,tauEst,q_raw,dq_raw,ddq_raw,temp
0,-0.434108,-0.0326236,0,-0.0703125,0,0,0,40
0,-0.434108,-0.0326236,0,-0.0703125,0,0,0,40
0,-0.434108,-0.0472184,0,0,0,0,0,40
0,-0.434108,-0.0197459,0,0.0351562,0,0,0,40
0,-0.434108,-0.0111607,0,0.0703125,0,0,0,40
0,-0.434066,0.100446,0,-0.0703125,0,0,0,40
0,-0.434066,0.146806,0,-0.105469,0,0,0,40
0,-0.434066,0.0128777,0,-0.175781,0,0,0,40
0,-0.434066,-0.00343407,0,0.175781,0,0,0,40
0,-0.434024,0.051511,0,0.0351562,0,0,0,40
0,-0.434024,0.125343,0,0,0,0,0,40
0,-0.434066,-0.0652473,0,0.105469,0,0,0,40
0,-0.434066,-0,0,-0.105469,0,0,0,40
0,-0.434066,-0.0867102,0,-0.0351562,0,0,0,40
0,-0.434024,0.0326236,0,0,0,0,0,40
0,-0.434024,-0.0669643,0,0.0703125,0,0,0,40
0,-0.433982,0.0678228,0,0,0,0,0,40
0,-0.433982,0.0995879,0,0,0,0,0,40
0,-0.434024,-0.0377747,0,0,0,0,0,40
0,-0.434024,-0.0377747,0,-0.0351562,0,0,0,40
0,-0.433982,0.107315,0,0.140625,0,0,0,40
0,-0.434024,-0.0867102,0,0.0703125,0,0,0,40
0,-0.433982,0.125343,0,0.0351562,0,0,0,40
0,-0.434024,-0.0987294,0,0.0351562,0,0,0,40
0,-0.433982,0.00171703,0,0.140625,0,0,0,40
0,-0.433982,0.0600962,0,0.0703125,0,0,0,40
0,-0.433982,0.0738324,0,0,0,0,0,40
0,-0.434024,-0.125343,0,0.0351562,0,0,0,40
0,-0.434024,-0.267857,0,0.316406,0,0,0,40
0,-0.43394,0.136504,0,-0.0351562,0,0,0,40
0,-0.433982,-0.0206044,0,0.0351562,0,0,0,40
0,-0.43394,0.113324,0,0,0,0,0,40
0,-0.433982,-0.053228,0,-0.0703125,0,0,0,40
0,-0.433982,-0.0326236,0,-0.0703125,0,0,0,40
0,-0.434024,-0.145948,0,0,0,0,0,40
