tau_in,q,dq,ddq,tauEst,q_raw,dq_raw,ddq_raw,temp
0,0.0942302,-0.0137363,0,0.0351562,0,0,0,43
0,0.0942302,-0.0137363,0,0.0351562,0,0,0,43
0,0.0942302,0.0360577,0,0,0,0,0,43
0,0.0942302,0.00257555,0,0.0351562,0,0,0,43
0,0.0941881,-0.163977,0,-0.0703125,0,0,0,43
0,0.0942302,0.0197459,0,0,0,0,0,43
0,0.0942302,0.0197459,0,-0.355469,0,0,0,43
0,0.0940617,-0.199176,0,-0.496094,0,0,0,43
0,0.0937245,-0.243819,0,-0.601562,0,0,0,43
0,0.0932609,-0.346841,0,-0.566406,0,0,0,43
0,0.092671,-0.31851,0,-0.425781,0,0,0,43
0,0.0919124,-0.529705,0,-0.636719,0,0,0,43
0,0.0910696,-0.388049,0,-0.566406,0,0,0,43
0,0.090016,-0.592376,0,-0.636719,0,0,0,43
0,0.088836,-0.732315,0,-0.460938,0,0,0,43
0,0.0878668,-0.381181,0,-0.496094,0,0,0,43
0,0.0872346,-0.224931,0,-0.425781,0,0,0,43
0,0.0868554,-0.236951,0,-0.746094,0,0,0,43
0,0.0865182,-0.120192,0,-0.671875,0,0,0,43
0,0.0859282,-0.303915,0,-0.671875,0,0,0,43
0,0.0852118,-0.377747,0,-0.601562,0,0,0,43
0,0.0844954,-0.140797,0,-0.78125,0,0,0,43
0,0.0835682,-0.310783,0,-0.601562,0,0,0,43
0,0.0826411,-0.384615,0,-0.601562,0,0,0,43
0,0.0818825,-0.412946,0,-0.671875,0,0,0,43
0,0.0812504,-0.224073,0,-0.53125,0,0,0,43
0,0.0804497,-0.401786,0,-0.636719,0,0,0,43
0,0.0794804,-0.401786,0,-0.671875,0,0,0,43
0,0.078469,-0.599244,0,-0.671875,0,0,0,43
0,0.0774155,-0.629293,0,-0.746094,0,0,0,43
0,0.076404,-0.464457,0,-0.566406,0,0,0,43
0,0.0753926,-0.417239,0,-0.53125,0,0,0,43
0,0.0741705,-0.707418,0,-0.816406,0,0,0,43
0,0.0729905,-0.46875,0,-0.566406,0,0,0,43
0,0.0718105,-0.46875,0,-0.636719,0,0,0,43
0,0.0705463,-0.514251,0,-0.636719,0,0,0,43
0,0.0685655,-0.847356,0,-0.710938,0,0,0,43
0,0.0673013,-0.658482,0,-0.53125,0,0,0,43
0,0.0660792,-0.5091,0,-0.496094,0,0,0,43
0,0.0647306,-0.863668,0,-0.636719,0,0,0,43
0,0.0634664,-0.546016,0,-0.746094,0,0,0,43
0,0.0619914,-0.870536,0,-0.566406,0,0,0,43
0,0.0606006,-0.757212,0,-0.566406,0,0,0,43
0,0.0592099,-0.540865,0,-0.710938,0,0,0,43
0,0.0576507,-0.901442,0,-0.601562,0,0,0,43
0,0.0560493,-0.946944,0,-0.671875,0,0,0,43
0,0.05449,-0.865385,0,-0.710938,0,0,0,43
0,0.0528886,-0.664492,0,-0.601562,0,0,0,43
