tau_in,q,dq,ddq,tauEst,q_raw,dq_raw,ddq_raw,temp
0,-1.12958,0.0051511,0,-0.0351562,0,0,0,39
0,-1.12958,-0.0145948,0,0.140625,0,0,0,39
0,-1.12958,-0.000858516,0,-0.140625,0,0,0,40
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,-0,0,0.0351562,0,0,0,39
0,-1.12963,-0.134787,0,-0.0703125,0,0,0,40
0,-1.12958,-0,0,-0.246094,0,0,0,40
0,-1.12958,0.0051511,0,0,0,0,0,40
0,-1.12958,0.0257555,0,-0.105469,0,0,0,40
0,-1.12958,0.0274725,0,0.0703125,0,0,0,40
0,-1.12963,-0,0,-0.0351562,0,0,0,40
0,-1.12958,-0.0120192,0,-0.105469,0,0,0,39
0,-1.12958,-0,0,0.105469,0,0,0,40
0,-1.12963,-0.134787,0,0.105469,0,0,0,40
0,-1.12958,0.000858516,0,0.140625,0,0,0,40
0,-1.12958,-0.0206044,0,0,0,0,0,40
0,-1.12958,-0.00686813,0,0.0703125,0,0,0,40
0,-1.12958,0.051511,0,-0.105469,0,0,0,40
0,-1.12958,0.00171703,0,0,0,0,0,39
0,-1.12958,0.0635302,0,0,0,0,0,39
0,-1.12958,0.0051511,0,0,0,0,0,40
0,-1.12958,0.00257555,0,0.0703125,0,0,0,40
0,-1.12958,-0,0,-0.28125,0,0,0,40
0,-1.12958,0.0197459,0,0,0,0,0,40
0,-1.12958,0.00944368,0,0.0351562,0,0,0,40
0,-1.12958,0.00171703,0,0.0351562,0,0,0,40
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,0.0128777,0,-0.0703125,0,0,0,39
0,-1.12958,0.051511,0,-0.140625,0,0,0,39
0,-1.12958,-0,0,0.0703125,0,0,0,40
0,-1.12958,-0.0309066,0,0.0703125,0,0,0,40
0,-1.12963,-0.186298,0,0.0351562,0,0,0,39
0,-1.12958,-0,0,0.0351562,0,0,0,39
0,-1.12954,0.139938,0,-0.0703125,0,0,0,39
0,-1.12958,0.0309066,0,0.140625,0,0,0,40
0,-1.12958,0.0128777,0,0.105469,0,0,0,40
0,-1.12954,0.134787,0,0,0,0,0,40
0,-1.12958,-0,0,-0.0351562,0,0,0,40
0,-1.12958,0.024897,0,0,0,0,0,40
0,-1.12958,0.0463599,0,-0.0351562,0,0,0,40
0,-1.12958,0.0154533,0,0.0351562,0,0,0,40
0,-1.12958,0.0128777,0,-0.140625,0,0,0,40
0,-1.12958,-0,0,-0.246094,0,0,0,40
0,-1.12963,-0.165694,0,0,0,0,0,40
0,-1.12958,0.0523695,0,0,0,0,0,40
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,0.00772665,0,0.0703125,0,0,0,40
0,-1.12958,-0.000858516,0,0,0,0,0,40
0,-1.12958,0.0309066,0,-0.0351562,0,0,0,40
0,-1.12958,0.000858516,0,0.0351562,0,0,0,40
0,-1.12954,0.168269,0,-0.210938,0,0,0,40
0,-1.12958,0.00772665,0,-0.0351562,0,0,0,40
0,-1.12958,0.000858516,0,0,0,0,0,40
0,-1.12958,0.0223214,0,0,0,0,0,40
0,-1.12958,0.0206044,0,0,0,0,0,40
0,-1.12963,-0.167411,0,0,0,0,0,39
0,-1.12958,-0,0,-0.0351562,0,0,0,40
0,-1.12958,0.00343407,0,-0.0351562,0,0,0,40
0,-1.12958,0.0506525,0,0.0351562,0,0,0,40
0,-1.12958,0.0197459,0,0,0,0,0,40
0,-1.12963,-0.128777,0,0,0,0,0,40
0,-1.12958,0.00257555,0,0,0,0,0,39
0,-1.12958,0.0600962,0,0.105469,0,0,0,39
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,0.0437843,0,-0.210938,0,0,0,40
0,-1.12958,0.0240385,0,-0.210938,0,0,0,40
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,0.0506525,0,-0.246094,0,0,0,39
0,-1.12958,0.00171703,0,0,0,0,0,39
0,-1.12958,-0,0,-0.0351562,0,0,0,39
0,-1.12958,0.00343407,0,0.0351562,0,0,0,39
0,-1.12958,0.0197459,0,0,0,0,0,40
0,-1.12958,0.00257555,0,0.0703125,0,0,0,40
0,-1.12963,-0.127919,0,0,0,0,0,40
0,-1.12958,0.0472184,0,-0.0703125,0,0,0,40
0,-1.12963,-0.168269,0,-0.0351562,0,0,0,40
0,-1.12958,0.0103022,0,0.0703125,0,0,0,40
0,-1.12958,0.0197459,0,0,0,0,0,40
0,-1.12958,0.00600962,0,0,0,0,0,40
0,-1.12958,0.0910027,0,0,0,0,0,40
0,-1.12963,-0.167411,0,0.0351562,0,0,0,40
0,-1.12963,-0.107315,0,0,0,0,0,40
0,-1.12958,0.0695398,0,-0.140625,0,0,0,39
0,-1.12958,0.00257555,0,0.105469,0,0,0,39
0,-1.12958,0.00171703,0,-0.0703125,0,0,0,40
0,-1.12958,0.0489354,0,-0.210938,0,0,0,39
0,-1.12963,-0.125343,0,-0.105469,0,0,0,39
0,-1.12958,0.0875687,0,0.0703125,0,0,0,40
0,-1.12958,0.0188874,0,0.0351562,0,0,0,40
0,-1.12958,0.0558036,0,0,0,0,0,40
0,-1.12958,0.0128777,0,0,0,0,0,39
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12963,-0.112466,0,0.0351562,0,0,0,40
0,-1.12958,0.000858516,0,0.210938,0,0,0,40
0,-1.12963,-0.148523,0,0.105469,0,0,0,40
0,-1.12958,0.0669643,0,-0.140625,0,0,0,40
0,-1.12958,0.00429258,0,0.140625,0,0,0,40
0,-1.12963,0.0789835,0,-0.28125,0,0,0,40
0,-1.12963,-0.100446,0,0,0,0,0,40
0,-1.12958,0.0841346,0,-0.0351562,0,0,0,40
0,-1.12958,0.000858516,0,0.0703125,0,0,0,40
0,-1.12958,0.024897,0,-0.140625,0,0,0,40
0,-1.12958,0.079842,0,-0.0703125,0,0,0,40
0,-1.12958,0.0403503,0,-0.0351562,0,0,0,40
0,-1.12963,-0.121051,0,0.105469,0,0,0,40
0,-1.12954,0.138221,0,-0.105469,0,0,0,40
0,-1.12958,0.0360577,0,0,0,0,0,39
0,-1.12958,0.00686813,0,-0.0703125,0,0,0,39
0,-1.12958,0.0583791,0,-0.246094,0,0,0,40
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,0.0163118,0,0,0,0,0,40
0,-1.12958,-0,0,-0.0351562,0,0,0,40
0,-1.12958,0.0343407,0,0.105469,0,0,0,40
0,-1.12958,0.0051511,0,0,0,0,0,40
0,-1.12963,-0.107315,0,-0.0351562,0,0,0,40
0,-1.12958,0.00171703,0,0,0,0,0,40
0,-1.12963,-0.114183,0,0.105469,0,0,0,40
0,-1.12958,0.00858517,0,0.105469,0,0,0,40
0,-1.12963,-0.124485,0,0.105469,0,0,0,40
0,-1.12954,0.134787,0,0.0351562,0,0,0,40
0,-1.12958,0.0952953,0,0,0,0,0,39
0,-1.12963,-0.0686813,0,-0.0351562,0,0,0,39
0,-1.12958,0.0463599,0,0,0,0,0,39
0,-1.12958,0.0463599,0,0,0,0,0,39
0,-1.12963,-0.13307,0,0.0703125,0,0,0,40
0,-1.12958,0.0334821,0,-0.0351562,0,0,0,40
0,-1.12958,0.00171703,0,0.105469,0,0,0,40
0,-1.12958,0.0394918,0,0,0,0,0,40
0,-1.12958,0.0420673,0,0.175781,0,0,0,40
0,-1.12958,0.0695398,0,0,0,0,0,40
0,-1.12963,-0.161401,0,0,0,0,0,40
0,-1.12958,0.000858516,0,0,0,0,0,40
0,-1.12963,-0.120192,0,0,0,0,0,40
0,-1.12958,0.053228,0,-0.0351562,0,0,0,40
0,-1.12958,0.0120192,0,0.105469,0,0,0,39
0,-1.12958,0.0575206,0,0.0703125,0,0,0,39
0,-1.12963,-0.159684,0,0.0351562,0,0,0,39
0,-1.12958,0.0309066,0,0.0703125,0,0,0,40
0,-1.12963,-0.076408,0,-0.0351562,0,0,0,40
0,-1.12958,0.0386332,0,0,0,0,0,40
0,-1.12958,-0.0403503,0,-0.0351562,0,0,0,40
0,-1.12958,0.0661058,0,-0.0703125,0,0,0,39
0,-1.12958,0.0386332,0,-0.105469,0,0,0,39
0,-1.12963,-0.163977,0,-0.175781,0,0,0,40
0,-1.12963,-0.0394918,0,-0.105469,0,0,0,40
0,-1.12958,0.00944368,0,0.105469,0,0,0,40
0,-1.12958,-0.000858516,0,-0.210938,0,0,0,40
0,-1.12958,-0,0,-0.175781,0,0,0,40
0,-1.12958,0.0927198,0,-0.246094,0,0,0,40
0,-1.12958,0.0437843,0,0.0703125,0,0,0,40
0,-1.12963,-0.133929,0,0,0,0,0,40
0,-1.12958,0.136504,0,-0.140625,0,0,0,40
0,-1.12963,-0.129636,0,-0.0351562,0,0,0,40
0,-1.12958,0.0309066,0,0,0,0,0,40
0,-1.12958,0.0386332,0,0.105469,0,0,0,40
0,-1.12958,0.0446429,0,0,0,0,0,40
0,-1.12954,0.136504,0,-0.0351562,0,0,0,40
0,-1.12963,-0.103022,0,0,0,0,0,40
0,-1.12958,0.00171703,0,-0.210938,0,0,0,40
0,-1.12958,0.0695398,0,0.105469,0,0,0,40
0,-1.12958,0.00772665,0,0.0351562,0,0,0,39
0,-1.12963,-0.122768,0,0.105469,0,0,0,39
0,-1.12958,0.0214629,0,-0.0703125,0,0,0,40
0,-1.12963,-0.0901442,0,0,0,0,0,40
0,-1.12963,-0.168269,0,0.0703125,0,0,0,40
0,-1.12958,0.0970124,0,-0.105469,0,0,0,40
0,-1.12958,0.0163118,0,-0.140625,0,0,0,40
0,-1.12963,-0.121909,0,0.0703125,0,0,0,40
0,-1.12963,-0.0171703,0,0,0,0,0,40
0,-1.12963,-0.0240385,0,0.140625,0,0,0,40
0,-1.12958,0.0686813,0,0,0,0,0,40
0,-1.12963,-0.049794,0,-0.0351562,0,0,0,40
0,-1.12958,0.000858516,0,0,0,0,0,40
0,-1.12963,-0.0643887,0,-0.0703125,0,0,0,40
0,-1.12958,-0.0403503,0,0.105469,0,0,0,40
0,-1.12958,-0,0,-0.0351562,0,0,0,40
0,-1.12958,0.00171703,0,-0.175781,0,0,0,40
0,-1.12958,-0.126202,0,-0.105469,0,0,0,40
0,-1.12958,0.0137363,0,0.0351562,0,0,0,40
0,-1.12958,0.0849931,0,-0.105469,0,0,0,40
0,-1.12963,-0.0420673,0,-0.105469,0,0,0,40
0,-1.12958,0.049794,0,-0.28125,0,0,0,40
0,-1.12963,-0.0755495,0,0.140625,0,0,0,40
0,-1.12963,-0.0961538,0,0.0351562,0,0,0,40
0,-1.12958,0.00171703,0,0.140625,0,0,0,40
0,-1.12958,0.0480769,0,-0.0351562,0,0,0,40
0,-1.12963,-0.133929,0,0.0351562,0,0,0,40
0,-1.12958,0.0927198,0,0,0,0,0,40
0,-1.12958,0.00257555,0,0,0,0,0,40
0,-1.12958,0.0600962,0,0,0,0,0,40
0,-1.12963,-0.0721154,0,0,0,0,0,40
0,-1.12958,0.0309066,0,-0.0703125,0,0,0,40
0,-1.12958,0.0334821,0,0,0,0,0,40
0,-1.12958,0.0231799,0,0,0,0,0,40
0,-1.12963,-0.0970124,0,0,0,0,0,40
0,-1.12958,0.121909,0,0,0,0,0,40
0,-1.12963,-0.0429258,0,0,0,0,0,40
0,-1.12958,0.0583791,0,-0.140625,0,0,0,40
0,-1.12958,0.0480769,0,-0.0351562,0,0,0,40
0,-1.12958,0.0643887,0,0,0,0,0,40
0,-1.12963,-0.117617,0,0.0351562,0,0,0,39
0,-1.12963,-0.163977,0,-0.175781,0,0,0,39
0,-1.12958,-0.0721154,0,0.140625,0,0,0,40
0,-1.12963,-0.0291896,0,0.0703125,0,0,0,40
0,-1.12958,0.0180288,0,0.140625,0,0,0,40
0,-1.12958,0.0643887,0,-0.0703125,0,0,0,39
0,-1.12958,0.12706,0,0,0,0,0,40
0,-1.12958,0.0274725,0,0.175781,0,0,0,40
0,-1.12963,-0.118475,0,0.105469,0,0,0,40
0,-1.12963,-0.0386332,0,0.140625,0,0,0,40
0,-1.12963,-0.116758,0,0.0351562,0,0,0,40
0,-1.12963,-0.115041,0,-0.0351562,0,0,0,40
0,-1.12958,0.0111607,0,-0.0703125,0,0,0,40
0,-1.12963,-0.105598,0,0.105469,0,0,0,40
0,-1.12958,0.0661058,0,0,0,0,0,40
0,-1.12963,-0.116758,0,0,0,0,0,40
0,-1.12958,0.00429258,0,0.0703125,0,0,0,39
0,-1.12958,0.158826,0,0,0,0,0,40
0,-1.12958,0.076408,0,-0.0703125,0,0,0,40
0,-1.12958,0.0995879,0,-0.0351562,0,0,0,40
0,-1.12963,-0.152816,0,0.105469,0,0,0,40
0,-1.12963,-0.0635302,0,0.0351562,0,0,0,40
0,-1.12958,0.0643887,0,-0.0703125,0,0,0,40
0,-1.12963,-0.131353,0,0.140625,0,0,0,40
0,-1.12958,0.0420673,0,0,0,0,0,39
0,-1.12958,0.121051,0,-0.0703125,0,0,0,39
0,-1.12958,0.103022,0,0.105469,0,0,0,39
0,-1.12963,0.0214629,0,0.0351562,0,0,0,40
0,-1.12963,-0.127919,0,0,0,0,0,40
0,-1.12963,-0.127919,0,0,0,0,0,40
0,-1.12958,0.0772665,0,-0.28125,0,0,0,40
0,-1.12958,0.0334821,0,-0.210938,0,0,0,40
0,-1.12958,0.0171703,0,-0.316406,0,0,0,40
0,-1.12958,0.0609547,0,0,0,0,0,39
0,-1.12958,0.0188874,0,0.0351562,0,0,0,40
0,-1.12958,0.0446429,0,0.105469,0,0,0,40
0,-1.12958,0.111607,0,0,0,0,0,39
0,-1.12958,0.0463599,0,-0.0351562,0,0,0,40
0,-1.12958,0.051511,0,-0.0351562,0,0,0,40
0,-1.12963,-0.078125,0,-0.0351562,0,0,0,40
0,-1.12963,-0.0326236,0,0.0351562,0,0,0,39
0,-1.12958,0.00429258,0,-0.0703125,0,0,0,39
0,-1.12958,0.000858516,0,-0.140625,0,0,0,40
0,-1.12958,0.0712569,0,0.0351562,0,0,0,40
0,-1.12963,-0.0918613,0,0.140625,0,0,0,40
0,-1.12963,-0.053228,0,-0.0351562,0,0,0,40
0,-1.12958,0.10388,0,0,0,0,0,40
0,-1.12958,0.0394918,0,0,0,0,0,40
0,-1.12963,-0.154533,0,0.105469,0,0,0,40
0,-1.12958,0.0849931,0,0.0703125,0,0,0,40
0,-1.12963,-0.118475,0,0.0703125,0,0,0,40
0,-1.12963,-0.0540865,0,0,0,0,0,40
0,-1.12958,0.0120192,0,0.105469,0,0,0,40
0,-1.12958,0.0566621,0,-0.246094,0,0,0,39
